<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100505,19:05,1166.5000000,1166.7500000,1166.5000000,1166.7500000,481
20100505,19:10,1167.0000000,1167.0000000,1166.5000000,1166.5000000,634
20100505,19:15,1166.5000000,1166.7500000,1166.0000000,1166.2500000,910
20100505,19:20,1166.0000000,1166.0000000,1165.2500000,1165.5000000,1185
20100505,19:25,1165.5000000,1166.0000000,1165.2500000,1165.5000000,493
20100505,19:30,1165.5000000,1165.5000000,1164.5000000,1164.5000000,1930
20100505,19:35,1164.7500000,1166.2500000,1164.7500000,1165.7500000,1105
20100505,19:40,1166.0000000,1167.0000000,1165.7500000,1166.7500000,1038
20100505,19:45,1166.7500000,1166.7500000,1166.5000000,1166.7500000,288
20100505,19:50,1167.0000000,1167.0000000,1166.5000000,1166.5000000,643
20100505,19:55,1166.5000000,1166.7500000,1166.2500000,1166.5000000,399
20100505,20:00,1166.5000000,1166.7500000,1166.2500000,1166.2500000,466
20100505,20:05,1166.5000000,1166.5000000,1166.2500000,1166.5000000,208
20100505,20:10,1166.5000000,1167.0000000,1166.2500000,1166.7500000,521
20100505,20:15,1166.7500000,1167.0000000,1166.5000000,1166.7500000,362
20100505,20:20,1166.7500000,1166.7500000,1166.5000000,1166.7500000,235
20100505,20:25,1166.7500000,1166.7500000,1166.2500000,1166.2500000,241
20100505,20:30,1166.2500000,1166.7500000,1166.2500000,1166.2500000,259
20100505,20:35,1166.2500000,1166.2500000,1165.7500000,1166.0000000,392
20100505,20:40,1165.7500000,1166.7500000,1165.7500000,1166.5000000,739
20100505,20:45,1166.5000000,1166.5000000,1166.2500000,1166.2500000,416
20100505,20:50,1166.2500000,1166.7500000,1166.2500000,1166.5000000,312
20100505,20:55,1166.5000000,1166.7500000,1166.2500000,1166.5000000,368
20100505,21:00,1166.7500000,1166.7500000,1166.5000000,1166.7500000,259
20100505,21:05,1167.0000000,1167.0000000,1166.5000000,1166.5000000,307
20100505,21:10,1166.7500000,1167.0000000,1166.5000000,1166.7500000,225
20100505,21:15,1166.5000000,1166.7500000,1166.5000000,1166.5000000,582
20100505,21:20,1166.7500000,1166.7500000,1166.2500000,1166.2500000,190
20100505,21:25,1166.2500000,1166.7500000,1166.2500000,1166.5000000,248
20100505,21:30,1166.5000000,1166.7500000,1165.7500000,1165.7500000,997
20100505,21:35,1165.7500000,1166.2500000,1165.5000000,1166.2500000,894
