<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/05/10,03:39:00,1171.2500000,1171.5000000,1171.0000000,1171.5000000,434
05/05/10,03:40:00,1171.2500000,1172.0000000,1171.0000000,1171.2500000,1128
05/05/10,03:41:00,1171.2500000,1171.2500000,1170.2500000,1170.2500000,577
05/05/10,03:42:00,1170.2500000,1171.5000000,1170.2500000,1170.7500000,810
05/05/10,03:43:00,1171.0000000,1171.2500000,1170.7500000,1171.0000000,774
05/05/10,03:44:00,1171.0000000,1171.0000000,1169.7500000,1170.2500000,1182
05/05/10,03:45:00,1170.0000000,1170.5000000,1169.7500000,1170.2500000,505
05/05/10,03:46:00,1170.0000000,1171.0000000,1170.0000000,1171.0000000,442
05/05/10,03:47:00,1171.0000000,1171.0000000,1170.2500000,1170.5000000,487
05/05/10,03:48:00,1170.2500000,1171.0000000,1170.2500000,1171.0000000,779
05/05/10,03:49:00,1171.2500000,1171.7500000,1171.0000000,1171.5000000,861
05/05/10,03:50:00,1171.7500000,1172.0000000,1171.0000000,1171.0000000,1162
05/05/10,03:51:00,1171.0000000,1171.5000000,1170.7500000,1171.5000000,711
05/05/10,03:52:00,1171.5000000,1171.5000000,1170.7500000,1171.2500000,644
05/05/10,03:53:00,1171.2500000,1171.2500000,1170.7500000,1171.2500000,223
05/05/10,03:54:00,1171.2500000,1171.5000000,1171.2500000,1171.5000000,264
05/05/10,03:55:00,1171.5000000,1172.0000000,1171.0000000,1171.5000000,885
05/05/10,03:56:00,1171.7500000,1172.2500000,1171.7500000,1172.0000000,346
05/05/10,03:57:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,292
05/05/10,03:58:00,1172.0000000,1172.0000000,1171.0000000,1171.2500000,619
05/05/10,03:59:00,1171.5000000,1172.2500000,1171.5000000,1172.2500000,622
05/05/10,04:00:00,1172.2500000,1172.7500000,1172.0000000,1172.5000000,1386
